               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015011,           0.0077095,          0.00055976,             0.96817,              0.4633,             0.48473,             0.34639,            0.013152,           0.0032607,          0.00052401,            0.003268,            0.003268,            0.003268
                  36,            0.014167,           0.0075521,          0.00072428,             0.96393,             0.46457,             0.47983,             0.34309,            0.013448,           0.0034131,          0.00052708,             0.00307,             0.00307,             0.00307
                  37,            0.014474,           0.0077776,          0.00050003,             0.96788,             0.45876,             0.48285,             0.34016,            0.013092,           0.0034736,          0.00052103,            0.002872,            0.002872,            0.002872
                  38,            0.013934,           0.0075725,          0.00061712,             0.97863,             0.46063,             0.49506,             0.34767,            0.013391,           0.0033522,          0.00051502,            0.002674,            0.002674,            0.002674
                  39,            0.014301,           0.0074659,          0.00045593,             0.96791,             0.45922,             0.48455,             0.33906,            0.013713,           0.0034837,          0.00052454,            0.002476,            0.002476,            0.002476
                  40,            0.014137,           0.0075689,          0.00081712,             0.97948,             0.45988,             0.48287,             0.34634,            0.014012,           0.0032722,           0.0005554,            0.002278,            0.002278,            0.002278
                  41,            0.014069,           0.0073557,          0.00052091,             0.97162,              0.4579,             0.48746,             0.34479,            0.013436,           0.0032195,          0.00053333,             0.00208,             0.00208,             0.00208
                  42,            0.014296,           0.0074256,          0.00033713,             0.96904,             0.46063,             0.48103,             0.33856,            0.013986,           0.0033342,          0.00058136,            0.001882,            0.001882,            0.001882
                  43,            0.013537,           0.0070684,          0.00045714,             0.96795,             0.45994,             0.48137,             0.33756,            0.013566,           0.0034329,           0.0005663,            0.001684,            0.001684,            0.001684
                  44,             0.01364,           0.0071025,          0.00034656,             0.97198,             0.46415,             0.48838,             0.34637,            0.013673,           0.0032968,          0.00054772,            0.001486,            0.001486,            0.001486
                  45,            0.013235,           0.0071264,          0.00048652,             0.96989,             0.46457,             0.47924,             0.33878,            0.013994,           0.0035335,          0.00056431,            0.001288,            0.001288,            0.001288
                  46,            0.013871,           0.0071511,          0.00075915,             0.97165,             0.45857,             0.48092,             0.34082,            0.013698,           0.0034261,          0.00058472,             0.00109,             0.00109,             0.00109
                  47,             0.01325,           0.0071917,          0.00044586,             0.97544,             0.44882,             0.48108,             0.33982,            0.013951,           0.0036556,           0.0005686,            0.000892,            0.000892,            0.000892
                  48,            0.013335,           0.0071887,          0.00057708,             0.97169,             0.45927,             0.48648,             0.34203,            0.013775,            0.003493,          0.00056805,            0.000694,            0.000694,            0.000694
                  49,            0.012651,           0.0071422,          0.00034131,             0.97893,             0.44738,             0.48482,             0.34267,            0.013566,           0.0035461,          0.00054929,            0.000496,            0.000496,            0.000496
