               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030611,            0.029196,           0.0018631,             0.83239,             0.82283,              0.8616,              0.4019,             0.03762,            0.015573,           0.0039323,             0.00307,             0.00307,             0.00307
                  37,            0.030034,            0.028752,           0.0018076,             0.82591,             0.85528,             0.86931,             0.42724,            0.035822,            0.015485,           0.0051093,            0.002872,            0.002872,            0.002872
                  38,            0.029809,            0.028379,            0.001882,             0.83104,             0.85591,             0.87735,              0.4179,            0.036929,            0.015114,            0.005357,            0.002674,            0.002674,            0.002674
                  39,            0.029608,            0.028233,           0.0019384,             0.84595,             0.84505,             0.88526,              0.4157,            0.036838,            0.014934,           0.0049362,            0.002476,            0.002476,            0.002476
                  40,            0.029333,            0.028615,           0.0017492,             0.89491,             0.81413,             0.87453,             0.42746,            0.035618,            0.015381,           0.0047964,            0.002278,            0.002278,            0.002278
                  41,            0.029293,            0.028135,           0.0016562,             0.85729,             0.82717,             0.88394,             0.44323,            0.035944,            0.015633,            0.003358,             0.00208,             0.00208,             0.00208
                  42,              0.0291,            0.028154,           0.0017218,             0.89795,             0.81805,             0.89644,             0.43672,            0.036007,            0.015045,            0.003836,            0.001882,            0.001882,            0.001882
                  43,            0.029062,            0.028325,           0.0016344,             0.84077,             0.85478,             0.88243,              0.4195,            0.037085,            0.015205,           0.0052762,            0.001684,            0.001684,            0.001684
                  44,             0.02874,            0.027665,            0.001564,             0.86661,             0.83608,             0.88699,             0.42962,            0.036438,            0.015396,           0.0044282,            0.001486,            0.001486,            0.001486
                  45,            0.028408,            0.026922,           0.0015094,             0.89649,             0.81966,             0.89303,             0.43042,            0.036689,            0.015286,           0.0036708,            0.001288,            0.001288,            0.001288
                  46,            0.028274,            0.027496,            0.001505,              0.8846,             0.82912,             0.88926,             0.44413,            0.035615,            0.015278,           0.0042091,             0.00109,             0.00109,             0.00109
                  47,            0.028087,            0.027483,           0.0013869,             0.83762,             0.83916,             0.88585,             0.44353,            0.035614,            0.015064,            0.004643,            0.000892,            0.000892,            0.000892
                  48,            0.028164,            0.027179,           0.0015414,               0.835,             0.82283,             0.85714,             0.42463,             0.03664,            0.015387,           0.0048376,            0.000694,            0.000694,            0.000694
                  49,            0.028096,            0.027468,           0.0013579,             0.85798,             0.80971,             0.87734,             0.42675,            0.036452,            0.015368,           0.0047652,            0.000496,            0.000496,            0.000496
